code,101,102,103,104,105,106,107,108,109,110,111,112
68000010001,-26,-23,-80,8,-15,12,-14,165,175,69,34,18
68000010002,-78,-47,-58,-18,-73,2,16,4,-24,112,43,31
68000010003,-57,-1,18,-21,29,48,17,25,56,-39,-12,74
68000010004,378,541,211,436,300,223,159,204,71,-36,53,33
68000010005,225,74,15,92,62,70,-83,23,-58,-30,-5,17
68000010006,96,49,111,169,133,96,79,93,134,46,131,42
68000010007,-43,-57,43,54,-3,5,-3,-19,-7,-2,11,5
68000010008,-33,-28,-18,17,-1,-7,-20,-9,143,91,-8,71
68000010009,-68,-1,-59,7,1,-43,-22,152,-12,-3,-23,25
68000010010,65,20,-8,45,204,223,405,431,535,942,351,239
68000010011,39,-70,-93,124,34,-4,-19,-9,-45,19,-70,-22
68000010012,107,36,-41,107,-43,-32,14,-71,-99,-103,18,156
68000010013,0,-23,-13,27,8,32,67,-14,36,27,-10,77
68000010014,-31,-39,1,26,-6,6,83,-9,-4,-46,-19,61
68000010015,-19,27,15,-4,-9,-25,16,-35,-49,-6,-7,-17
68000010016,16,24,2,85,133,89,-35,-1,-73,-10,-19,-51
68000010017,-110,-41,-4,37,-15,-28,77,74,52,205,446,724
68000010018,-30,-62,17,75,-54,36,-7,25,-63,-28,-46,-13
68000010019,-14,29,10,-50,25,-41,-7,-45,35,61,68,81
68000010020,-43,-34,-31,18,-6,-37,23,-24,-38,-61,-1,-9
68000010021,-55,-43,-53,-17,-27,-3,-42,-55,22,-50,10,-51
68000010022,54,54,14,120,169,158,136,48,168,9,8,75
68000010023,57,39,-32,218,220,179,186,87,73,-131,44,-47
68000010024,-65,7,-30,114,139,113,164,45,117,157,110,43
68000010025,-49,-64,-71,-14,15,-6,-29,16,-26,-77,-34,18
68000010026,-62,-26,-92,28,53,-35,-113,-43,45,-142,-129,103
68000010027,-35,-109,-27,-26,-49,1,-13,14,-11,-54,-16,-6
68000010028,134,-72,-129,17,23,-27,36,-38,-47,-134,-109,29
68000010029,-287,-67,64,84,79,13,15,386,689,767,469,475
68000010030,-181,-10,65,97,144,182,363,662,551,842,449,330
