code,101,102,103,104,105,106,107,108,109,110,111,112
65000170008,1055,1297,1377,912,1404,1248,2061,2423,2781,2123,1853,2229
65000100008,984,1811,1392,2232,1902,1625,2356,2392,2303,2074,2045,2127
65000170007,1759,1898,1382,1184,1223,1250,1602,1624,1947,932,1128,1852
65000060052,66,-7,-397,-88,1,-4,-28,-44,41,132,969,1641
65000010031,21,-100,-11,26,25,-62,-38,-118,189,962,943,1562
65000020095,14,10,-55,8,-35,-16,-38,-33,-16,433,601,1348
65000100042,460,306,297,192,240,862,740,1070,897,631,657,934
65000150018,337,282,410,489,692,691,1005,1258,901,437,569,930
65000050053,61,82,164,140,317,312,514,862,905,636,755,744
65000050064,53,202,333,594,509,556,470,596,473,736,376,741
65000130009,-47,-87,-38,35,82,51,110,17,282,-10,45,720
65000130003,74,68,-94,-45,11,10,108,553,454,468,922,683
65000100033,5,46,150,246,78,147,194,134,158,25,117,662
65000130007,25,-13,20,20,-47,-10,-46,109,550,436,813,605
65000100021,567,558,506,288,134,252,107,519,131,27,-49,603
65000050005,214,330,461,242,188,163,131,218,385,167,26,593
65000080010,251,181,97,-97,58,198,402,447,426,305,7,564
65000010010,-83,-110,1,-38,-72,-28,21,51,683,684,1089,559
65000030001,10,-6,178,252,193,247,277,483,600,1006,1108,529
65000070024,1191,741,703,337,447,296,323,219,265,-116,30,502
65000050002,279,817,843,772,602,635,383,337,560,637,390,473
65000160012,5,171,513,342,89,136,87,65,-50,-351,133,422
65000100020,163,208,138,52,71,217,293,434,301,205,253,393
65000020004,-358,-14,-24,-8,-34,18,-57,10,21,25,420,372
65000060060,343,360,75,223,139,91,260,289,139,127,217,370
65000170003,363,557,240,339,313,205,479,713,255,348,312,364
65000230007,-16,96,198,59,123,52,68,-121,62,277,341,336
65000070026,375,419,265,202,300,172,252,111,133,119,48,331
65000090027,1558,1358,807,660,732,478,489,299,269,-164,13,324
65000100035,63,177,297,283,600,437,213,200,348,138,239,317
65000010033,33,-12,-45,-33,5,-67,102,233,285,35,-36,311
65000020043,4,-45,-14,-3,-1,-15,19,-59,-57,-50,-28,289
65000060018,28,-3,-52,-20,126,-53,-9,-66,-81,6,-37,285
65000130031,31,-23,10,-84,-30,-12,-76,-19,-38,-67,-59,273
65000110021,-14,-3,-74,1,7,47,3,23,62,-33,-27,271
65000050015,330,221,149,147,13,760,360,393,372,129,538,264
65000230004,61,9,48,75,-3,35,59,80,73,129,357,263
65000030049,106,218,26,114,69,21,129,-1,40,-108,-11,262
65000010087,272,84,40,-37,133,339,229,153,144,-56,-47,259
65000020105,256,272,105,80,64,29,141,165,47,-81,183,259
65000110039,38,141,87,51,35,29,17,190,262,175,110,258
65000040062,281,49,69,-30,-58,-117,-60,94,216,-173,25,256
65000170016,-110,153,134,48,3,118,33,-19,0,-20,-74,248
65000060040,-73,115,777,250,191,374,249,95,12,-32,72,246
65000050052,100,55,66,-9,9,4,190,178,135,107,170,243
