code,100,101,102,103,104,105,106,107,108,109,110,111,112
65000010,198015,201973,203555,204899,205731,206794,208464,212630,215279,217892,219404,221271,225202
65000020,142515,144286,145732,147402,148489,150133,151065,151788,153267,154699,155647,157692,160936
65000030,157474,159724,160988,162378,163065,164248,165228,166066,167668,168928,169811,171182,173661
65000040,89972,90478,90630,90687,90705,90779,90938,91130,91319,91824,91421,91249,92467
65000050,139207,142061,144609,147092,149116,150767,153253,155540,157838,160984,162567,164488,167536
65000060,117904,119383,121059,122810,123873,125213,126696,127675,129140,130416,130664,131824,134977
65000070,62139,63613,64323,65057,65432,66035,66454,66723,67176,67580,67747,67888,68663
65000080,27986,28560,28881,29201,29425,29565,29790,30373,31013,31860,32655,33301,34058
65000090,36823,38502,39459,40345,41141,41992,42661,43228,43961,44562,44826,45068,45557
65000100,59866,62655,65495,68253,70294,72432,74756,77282,80206,83046,85048,87308,90892
65000110,80361,81979,83244,84229,85024,85998,86928,88004,89668,91207,92279,93309,95134
65000120,15930,15967,16025,16088,16142,16168,16212,16160,16146,16177,16098,16015,15984
65000130,83316,84453,85009,85549,85968,86503,86953,87234,88244,89502,90588,92223,94393
65000140,66457,67478,68130,68922,69521,70235,70961,71720,72481,73445,74077,74455,75247
65000150,27777,28290,28737,29305,29946,30747,31473,32551,33610,34644,35685,36517,37487
65000160,26554,26968,27275,27668,27996,28230,28478,28641,28813,29032,29010,29278,29869
65000170,32503,34026,36121,37840,39143,40537,41953,44031,46404,48894,50711,52573,54852
65000180,9085,9198,9265,9330,9458,9548,9605,9633,9708,9796,9856,9889,10000
65000190,3340,3350,3363,3368,3372,3364,3379,3402,3415,3402,3380,3344,3333
65000200,2457,2476,2478,2478,2495,2520,2514,2521,2541,2547,2566,2574,2552
65000210,8946,9078,9197,9279,9371,9431,9483,9530,9562,9595,9628,9688,9776
65000220,4161,4236,4264,4283,4311,4305,4301,4313,4293,4239,4220,4225,4243
65000230,12671,12948,13289,13764,14017,14309,14581,14880,15265,15554,16118,16779,17561
65000240,2392,2388,2380,2351,2352,2328,2302,2292,2274,2252,2213,2196,2144
65000250,3806,3834,3860,3842,3840,3819,3814,3803,3776,3731,3671,3615,3563
65000260,4438,4461,4456,4434,4402,4412,4405,4368,4360,4358,4318,4282,4249
65000270,6808,6910,6934,7003,7024,7078,7105,7132,7144,7194,7236,7257,7279
65000280,7140,7259,7317,7369,7416,7465,7480,7489,7520,7538,7543,7517,7560
65000290,1748,1758,1782,1792,1831,1857,1866,1898,1908,1916,1919,1901,1895
