年分,99,100,101,102,103,104,105,106,107,108,109,110,111,112
遷入人數,1213899,1128449,1118006,1079702,1073783,1004108,964536,948049,984814,972043,946251,920703,1086712,1126548
遷出人數,1192662,1109372,1102326,1065212,1060001,995527,952829,939240,975926,959325,980229,1076713,1129142,900949
增加數,21237,19077,15680,14490,13782,8581,11707,8809,8888,12718,-33978,-156010,-42430,225599
增加率,0.92,0.82,0.67,0.62,0.59,0.37,0.5,0.37,0.38,0.54,-1.44,-6.65,-1.82,9.66
