年分,99,100,101,102,103,104,105,106,107,108,109,110,111,112
出生人數,166886,196627,229481,199113,210383,213598,208440,193844,181601,177767,165249,153820,138986,135571
死亡人數,145772,152915,154251,155908,163929,163858,172405,171242,172784,176296,173156,183732,207230,205368
成長率,0.91,1.88,3.23,1.85,1.98,2.12,1.53,0.96,0.37,0.06,-0.34,-1.27,-2.93,-2.99
