year,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
遷入人數,1213899,1128449,1118006,1079702,1073783,1004108,964536,948049,984814,972043,946251,920703,1086712
遷出人數,1192662,1109372,1102326,1065212,1060001,995527,952829,939240,975926,959325,980229,1076713,1129142
成長率,0.92,0.82,0.67,0.62,0.59,0.37,0.50,0.37,0.38,0.54,-1.44,-6.65,-1.82
