年分,99,100,101,102,103,104,105,106,107,108,109,110,111,112
自然增加,21114,43712,75230,43205,46454,49740,36035,22602,8817,1471,-7907,-29912,-68244,-69797
社會增加,21237,19077,15680,14490,13782,8581,11707,8809,8888,12718,-33978,-156010,-42430,225599
成長率,1.83,2.71,3.91,2.47,2.58,2.49,2.03,1.33,0.75,0.60,-1.77,-7.89,-4.73,6.70
